"Criminality avg,","Criminal markets avg,",Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Cyber-dependent crimes,Financial crimes,Trade in counterfeit goods,Illicit trade in excisable goods,Extortion and protection racketeering,"Criminal actors avg,",Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Private sector actors,"Resilience avg,",Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors,Freedom
7.03,7.37,8.0,8.5,9.0,4.5,4.0,9.5,9.0,5.5,6.0,9.5,8.0,9.0,7.5,8.0,4.5,6.7,5.0,7.5,9.5,6.0,5.5,3.13,2.5,2.0,4.0,4.0,3.0,3.0,5.0,2.5,2.5,3.5,3.0,2.5,12
5.47,5.03,5.5,3.5,4.5,4.5,7.0,8.5,4.0,3.5,6.0,5.5,4.5,5.5,4.0,6.5,2.5,5.9,3.5,7.5,8.0,6.0,4.5,3.13,2.0,3.0,3.5,3.5,2.5,3.0,4.5,4.0,3.0,2.0,3.5,3.0,28
4.58,4.77,7.0,4.0,5.5,5.0,6.5,7.0,2.5,7.0,4.5,4.5,2.0,5.5,5.0,4.5,1.0,4.4,1.0,6.0,7.5,6.5,1.0,3.13,2.5,3.5,3.5,4.0,3.5,3.5,3.5,3.0,3.0,2.0,2.0,3.5,30
4.38,4.27,7.5,6.5,3.5,1.0,4.0,3.5,1.5,4.5,7.0,3.0,1.5,6.0,6.0,6.0,2.5,4.5,1.5,5.0,6.5,6.0,3.5,3.13,4.0,3.5,3.5,3.5,2.5,2.5,4.0,4.5,3.0,1.5,2.0,3.0,36
6.27,6.23,6.5,5.5,7.5,7.5,7.5,7.5,4.5,3.5,7.0,7.0,5.0,6.0,7.5,5.0,6.0,6.3,4.5,7.5,8.0,7.0,4.5,3.17,2.0,1.5,5.5,4.5,2.5,4.0,2.0,3.5,2.5,2.5,2.5,5.0,15
7.13,6.27,7.5,8.5,9.0,1.5,4.0,9.0,6.0,5.0,5.5,7.0,2.0,9.0,6.5,6.5,7.0,8.0,6.5,8.5,8.5,9.0,7.5,3.21,3.5,2.5,4.0,3.5,3.5,3.5,2.5,4.0,3.0,2.5,3.0,3.0,29
5.92,5.43,7.0,7.0,7.0,5.0,5.5,1.5,1.5,7.5,7.0,2.5,5.5,6.5,5.0,5.5,7.5,6.4,8.5,7.0,7.5,4.5,4.5,3.21,2.0,2.0,4.5,4.0,2.0,3.0,5.5,3.5,2.0,3.5,4.0,2.5,56
5.87,5.33,7.0,7.5,7.5,3.5,2.5,5.0,4.0,2.5,4.0,5.0,7.0,8.0,6.5,6.0,4.0,6.4,4.0,5.0,9.0,6.5,7.5,3.25,3.0,2.0,3.0,4.0,2.0,3.0,4.0,4.5,4.0,3.0,4.5,2.0,8
5.5,5.4,6.0,3.0,5.0,6.0,6.0,7.0,5.0,6.5,6.0,3.5,4.5,7.5,6.5,4.5,4.0,5.6,3.0,6.5,6.5,6.0,6.0,3.25,3.5,3.0,3.5,4.0,3.5,4.0,3.5,3.5,3.0,1.5,2.0,4.0,60
4.85,4.6,5.5,5.5,4.5,8.5,7.0,3.0,2.5,3.0,4.0,5.0,2.5,7.0,7.0,3.0,1.0,5.1,1.0,5.0,8.0,6.0,5.5,3.25,2.0,2.0,5.0,4.0,3.0,4.5,4.5,2.0,2.5,3.0,3.5,3.0,20
6.2,5.9,4.5,5.5,6.5,8.0,8.0,8.0,8.0,6.0,4.0,7.0,3.0,6.5,4.0,4.5,5.0,6.5,5.0,8.0,9.0,7.5,3.0,3.29,3.0,3.5,5.5,5.5,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,45
5.72,5.33,7.0,4.0,6.5,8.5,5.0,7.0,1.0,4.0,6.5,5.0,4.0,9.0,5.5,5.0,2.0,6.1,1.0,8.0,8.5,6.5,6.5,3.29,2.5,2.0,4.5,5.5,4.5,3.0,3.0,3.0,3.0,3.5,2.5,2.5,61
4.87,4.43,5.5,6.0,5.0,5.5,5.5,3.5,3.5,5.0,5.5,3.0,3.5,4.0,3.5,4.0,3.5,5.3,6.5,3.5,5.5,5.5,5.5,3.29,6.0,2.5,4.0,3.5,4.0,4.0,2.0,2.0,1.5,3.0,3.0,4.0,87
5.58,5.27,6.0,3.0,6.0,8.0,7.5,8.0,7.0,3.0,6.5,2.5,2.0,6.0,4.0,4.0,5.5,5.9,4.5,5.0,8.0,6.5,5.5,3.33,4.0,2.0,3.0,3.5,2.5,4.0,5.5,4.5,2.0,2.5,4.0,2.5,61
7.03,6.77,8.0,9.0,8.5,4.0,3.0,8.5,8.5,5.5,6.5,7.0,5.0,8.0,7.0,7.0,6.0,7.3,8.5,8.0,9.0,6.0,5.0,3.38,4.0,2.0,3.5,4.5,2.0,3.0,5.5,2.0,4.0,4.0,3.0,3.0,32
7.52,6.73,7.5,6.0,9.0,6.5,6.5,4.0,1.0,8.5,9.0,4.5,7.5,7.5,9.0,7.5,7.0,8.3,8.0,8.0,9.0,9.0,7.5,3.42,2.0,3.0,7.0,3.5,2.5,2.0,4.5,2.5,4.0,2.0,3.0,5.0,65
4.92,4.83,6.5,6.5,6.0,3.5,5.5,3.0,6.5,2.5,6.0,6.0,3.0,4.0,2.5,3.5,7.5,5.0,5.5,6.0,7.0,3.5,3.0,3.42,2.5,3.0,5.5,5.5,3.0,3.0,4.0,5.0,2.0,3.0,2.0,2.5,54
7.1,6.3,7.5,8.0,8.5,1.5,3.5,6.5,4.0,6.0,9.0,8.5,4.0,9.0,6.5,6.5,5.5,7.9,6.0,7.5,9.5,8.5,8.0,3.46,2.5,3.0,5.5,4.0,3.5,3.0,3.0,2.5,1.5,4.0,3.5,5.5,43
6.12,6.33,7.0,6.5,5.5,8.0,8.5,3.5,7.5,2.5,4.5,8.5,5.5,8.0,7.5,7.0,5.0,5.9,1.5,6.5,6.5,8.0,7.0,3.46,3.5,2.5,4.0,4.0,3.0,4.0,2.5,3.5,4.0,4.0,3.5,3.0,13
5.92,5.83,7.0,4.5,8.0,5.5,6.5,8.5,4.0,4.0,4.0,5.5,5.5,5.5,6.0,6.5,6.5,6.0,4.0,7.0,7.0,6.0,6.0,3.46,2.5,3.5,5.0,5.5,4.0,3.0,2.0,4.0,3.0,2.5,2.0,4.5,30
5.7,5.7,7.5,8.0,8.0,2.0,5.0,7.5,3.0,6.5,7.0,7.5,1.0,6.5,7.0,5.0,4.0,5.7,4.0,7.5,8.5,5.5,3.0,3.46,4.0,2.5,5.5,4.5,2.5,4.0,3.5,4.0,3.5,2.5,2.5,2.5,51
5.32,5.43,6.5,4.0,6.0,6.0,5.0,5.0,4.5,7.0,5.0,6.0,4.5,6.0,7.0,5.0,4.0,5.2,2.0,5.5,6.0,8.0,4.5,3.5,3.5,4.0,4.5,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,59
6.85,6.7,8.5,7.0,5.5,8.0,8.5,8.0,4.5,2.5,4.5,8.0,7.5,8.0,8.0,5.5,6.5,7.0,4.5,7.0,8.5,8.0,7.0,3.63,4.0,3.5,5.0,4.0,4.0,3.5,4.0,4.0,4.0,2.5,3.0,2.0,24
6.87,6.83,7.5,6.5,8.5,7.5,7.5,7.5,6.0,3.5,5.0,8.5,9.0,8.5,4.5,6.5,6.0,6.9,6.0,7.0,8.5,5.0,8.0,3.79,4.0,3.0,3.0,6.0,4.0,4.5,5.0,3.5,4.0,2.5,3.5,2.5,16
5.32,4.63,7.0,5.5,3.5,2.5,3.5,6.5,7.5,2.0,6.0,5.0,2.0,6.0,5.0,4.0,3.5,6.0,6.5,6.0,8.5,4.5,4.5,3.83,3.0,2.5,4.5,4.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,27
5.05,5.1,6.0,6.0,7.0,1.0,5.5,4.0,5.5,2.5,7.5,8.0,2.5,8.0,6.0,3.5,3.5,5.0,3.0,5.5,8.5,5.0,3.0,3.83,3.5,2.5,5.0,4.5,3.0,5.0,6.0,5.0,4.0,2.5,2.5,2.5,18
4.08,3.67,4.5,5.0,4.0,3.0,5.0,2.0,2.5,2.5,3.5,4.0,2.0,5.5,2.5,5.0,4.0,4.5,5.0,4.0,4.5,5.0,4.0,3.83,3.5,3.5,4.0,4.0,3.5,4.0,3.0,4.0,3.5,3.5,4.5,5.0,72
6.55,6.4,7.5,6.5,7.0,7.0,7.0,8.0,6.0,4.5,6.5,4.0,6.0,7.5,7.5,6.0,5.0,6.7,5.5,6.5,8.0,7.0,6.5,3.88,4.5,2.0,5.0,5.0,4.0,4.0,5.5,3.0,3.5,2.0,4.0,4.0,35
5.85,5.3,5.5,6.5,6.0,4.5,3.5,4.0,6.5,5.5,6.0,6.0,4.5,6.0,4.5,5.5,5.0,6.4,4.0,6.0,8.0,8.0,6.0,3.88,4.0,3.5,6.0,4.0,2.0,3.5,4.0,3.5,3.5,4.0,4.5,4.0,52
4.95,4.6,7.5,6.0,3.0,3.0,3.5,7.0,6.5,1.5,4.5,4.5,3.0,6.0,4.0,5.0,4.0,5.3,5.0,5.5,6.5,5.0,4.5,3.88,3.5,3.0,4.0,4.0,3.0,3.5,4.5,3.5,5.0,4.0,5.5,3.0,12
5.6,5.2,7.5,4.5,7.5,3.0,2.0,4.0,3.5,2.5,5.0,5.0,7.5,8.0,5.0,7.5,5.5,6.0,5.0,5.0,8.0,5.0,7.0,3.92,4.0,4.0,5.0,5.0,3.0,4.0,3.5,3.5,4.0,4.0,3.0,4.0,62
3.92,3.43,4.0,3.5,4.0,1.0,3.0,6.0,3.5,5.0,5.5,3.5,1.0,5.0,1.0,3.5,2.0,4.4,3.0,5.5,6.0,5.0,2.5,3.92,4.0,3.5,7.0,5.0,3.0,3.0,3.0,4.0,4.0,3.5,3.5,3.5,66
6.03,6.27,8.0,7.5,8.5,4.5,5.5,5.5,8.5,3.0,7.0,7.0,5.0,7.0,4.5,6.0,6.5,5.8,6.0,7.0,7.5,4.0,4.5,3.96,3.5,3.5,5.0,5.0,3.0,4.5,4.0,4.0,3.5,3.5,4.0,4.0,37
4.8,4.1,4.5,3.0,3.0,3.0,3.5,5.0,6.5,1.5,5.5,5.0,3.0,5.0,5.0,4.0,4.0,5.5,5.5,5.5,7.5,6.0,3.0,3.96,3.5,3.0,5.0,4.0,2.5,4.5,4.0,4.0,4.5,4.0,5.0,3.5,9
6.57,6.03,8.0,7.5,6.0,7.0,7.0,7.5,4.5,4.0,6.0,4.5,3.0,7.0,7.5,4.5,6.5,7.1,5.5,7.5,7.5,7.5,7.5,4.0,3.5,2.5,5.5,4.5,3.0,4.5,4.5,3.5,4.0,4.5,4.0,4.0,58
6.23,6.57,8.0,7.5,8.0,5.0,7.5,7.5,6.5,5.5,6.5,9.0,7.5,8.0,6.0,4.0,2.0,5.9,3.0,6.5,8.5,3.5,8.0,4.0,3.5,2.5,5.0,4.0,3.0,4.0,5.0,5.5,5.0,4.0,4.5,2.0,8
5.97,5.13,5.5,4.5,6.0,4.5,3.5,9.0,3.0,8.5,3.5,3.5,2.0,8.5,4.0,4.0,7.0,6.8,6.0,5.0,8.0,7.0,8.0,4.04,4.0,3.0,5.0,3.5,4.0,3.0,4.0,4.0,4.5,5.0,4.5,4.0,73
4.95,4.6,5.0,4.0,3.5,7.0,6.5,7.0,2.5,5.5,7.0,6.0,1.5,4.0,4.0,3.5,2.0,5.3,2.5,6.0,6.5,7.5,4.0,4.04,4.5,4.0,5.0,3.5,3.0,4.0,4.5,4.5,3.5,3.0,4.0,5.0,63
7.05,6.0,7.0,6.5,6.5,7.0,6.5,5.0,2.0,8.5,7.5,3.5,6.5,7.5,3.5,4.0,8.5,8.1,8.5,7.5,8.5,8.0,8.0,4.08,3.0,3.5,6.5,4.0,3.5,5.0,4.5,4.0,3.5,3.0,4.5,4.0,48
6.6,6.1,7.0,7.5,7.0,4.5,4.5,3.0,7.5,8.5,6.0,6.0,5.0,6.5,5.5,5.0,8.0,7.1,7.5,6.0,8.0,8.0,6.0,4.08,3.0,3.5,5.5,4.5,3.5,5.0,3.5,4.5,4.0,4.0,4.0,4.0,49
4.27,3.53,7.0,6.5,2.0,2.0,5.0,2.0,6.5,3.5,4.0,2.0,3.5,3.5,1.0,2.0,2.5,5.0,6.5,6.0,5.0,4.5,3.0,4.08,5.5,6.0,5.5,5.5,3.0,4.0,3.0,3.5,3.0,2.0,3.0,5.0,41
6.2,6.4,6.5,7.0,6.0,7.0,8.0,6.5,8.0,6.0,7.0,5.5,5.0,5.5,7.0,7.0,4.0,6.0,3.5,7.0,6.5,6.5,6.5,4.13,5.5,2.5,4.5,5.5,5.0,3.5,4.5,5.0,5.0,3.0,3.0,2.5,36
7.57,8.13,8.0,9.0,8.5,7.5,7.0,7.5,8.0,9.0,8.0,9.0,7.5,8.5,8.5,7.0,9.0,7.0,9.0,9.0,7.5,3.5,6.0,4.21,3.0,3.0,6.5,5.5,4.0,5.0,3.0,4.0,5.0,3.5,4.0,4.0,60
6.63,6.57,7.5,5.5,7.5,7.0,7.5,8.0,4.0,4.0,4.5,9.0,7.5,8.0,7.0,6.0,5.5,6.7,8.0,6.5,8.0,7.5,3.5,4.21,3.0,2.5,5.5,5.0,4.5,2.0,4.0,5.0,6.0,5.0,3.5,4.5,58
6.85,6.6,7.5,6.5,4.5,8.0,8.0,8.0,3.5,4.0,6.5,7.0,7.5,8.0,7.5,6.5,6.0,7.1,6.0,7.5,8.0,6.0,8.0,4.25,4.0,3.5,6.0,5.0,3.5,3.5,4.0,5.0,4.5,4.5,4.0,3.5,58
2.45,2.6,5.0,1.5,2.0,1.0,6.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0,2.0,3.0,2.5,2.3,1.0,4.0,1.5,3.0,2.0,4.33,5.5,5.5,5.0,6.0,4.0,5.0,4.5,4.0,3.0,1.0,3.0,5.5,91
6.4,6.2,7.0,6.5,6.5,7.0,6.0,9.0,5.5,9.0,6.0,4.5,5.0,5.5,9.0,2.0,4.5,6.6,7.0,8.5,7.5,6.0,4.0,4.38,2.5,5.5,5.0,6.0,6.5,3.5,5.0,4.0,4.0,3.5,3.0,4.0,70
4.88,5.17,4.0,7.0,4.5,2.0,5.5,7.0,2.5,4.0,7.0,6.5,4.0,8.0,6.0,6.5,3.0,4.6,1.5,5.0,7.5,5.0,4.0,4.38,4.5,3.0,5.0,6.0,3.0,6.0,6.5,5.0,4.5,3.0,3.5,2.5,32
4.65,4.3,6.5,7.5,7.5,2.0,5.0,3.0,2.5,2.0,3.5,1.5,1.5,6.5,5.5,6.5,3.5,5.0,1.5,5.0,5.5,7.0,6.0,4.38,4.0,3.0,6.5,4.5,4.0,4.0,5.5,5.0,5.5,3.0,4.0,3.5,24
5.12,5.03,8.0,6.5,5.0,5.0,5.5,3.5,4.5,3.0,4.0,6.5,5.0,4.5,4.5,3.5,6.5,5.2,6.0,6.0,7.0,4.0,3.0,4.42,4.0,4.0,6.0,5.0,3.0,4.0,5.0,5.5,5.0,3.5,4.0,4.0,40
4.43,3.97,5.5,6.5,2.5,2.5,3.0,2.0,2.5,5.0,4.5,3.0,4.0,5.0,5.5,5.0,3.0,4.9,3.5,5.0,4.0,7.0,5.0,4.46,4.5,4.5,7.0,6.0,4.5,5.5,2.5,3.5,3.5,4.5,4.0,3.5,92
5.58,5.17,6.5,5.0,6.0,7.5,5.5,8.0,3.0,6.5,4.5,2.5,5.0,5.0,4.5,6.0,2.0,6.0,3.5,6.0,8.0,5.0,7.5,4.5,5.0,5.0,5.0,5.0,3.5,4.5,5.5,5.0,4.5,4.0,4.0,3.0,28
5.23,4.77,5.5,3.5,4.0,4.0,5.5,6.5,2.5,5.5,7.0,5.0,5.0,3.5,7.0,5.5,1.5,5.7,1.0,7.0,7.5,7.0,6.0,4.5,3.5,4.0,6.0,5.5,4.0,5.0,3.5,3.5,4.5,5.0,5.0,4.5,42
4.45,5.0,4.0,8.0,3.0,3.5,5.0,5.5,3.5,4.0,7.0,6.0,4.0,8.0,6.0,5.5,2.0,3.9,1.5,4.5,6.5,2.5,4.5,4.5,4.5,4.0,5.0,6.0,3.5,4.5,6.0,5.5,3.5,4.5,3.0,4.0,56
6.48,6.27,7.5,8.0,9.0,7.0,4.5,7.5,4.0,1.5,6.5,8.0,8.5,6.5,5.5,5.0,5.0,6.7,5.5,7.5,8.0,7.0,5.5,4.54,5.0,3.5,7.5,4.5,4.5,5.0,1.5,4.5,5.0,4.0,4.0,5.5,50
4.73,4.47,5.0,3.0,3.5,7.5,5.0,5.5,4.5,3.5,5.0,3.5,4.0,5.0,4.5,5.0,2.5,5.0,3.0,5.0,6.5,7.5,3.0,4.54,4.5,3.5,5.5,6.5,5.0,4.0,3.5,5.5,5.5,3.0,3.0,5.0,54
4.47,4.33,6.0,4.5,3.0,2.0,5.0,5.5,6.5,2.5,5.0,6.0,2.5,5.0,4.0,4.0,3.5,4.6,4.0,4.5,6.5,4.0,4.0,4.54,5.0,4.0,5.5,5.5,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.5,23
4.3,4.1,3.5,2.5,3.0,6.5,5.5,4.5,3.0,4.5,3.5,4.5,5.0,4.5,4.5,3.5,3.0,4.5,2.5,5.5,5.0,6.0,3.5,4.54,4.5,4.0,7.0,6.0,4.0,3.5,3.5,4.0,4.0,4.0,4.0,6.0,77
4.48,4.77,5.0,4.5,4.5,5.0,6.5,4.5,4.0,3.5,6.5,3.0,2.5,7.0,7.0,6.0,2.0,4.2,2.0,4.5,4.0,5.5,5.0,4.58,5.5,5.0,5.5,5.5,5.0,3.5,3.0,6.0,4.0,2.5,4.0,5.5,66
2.98,2.67,4.0,2.0,3.5,1.0,3.5,1.5,3.0,6.0,5.5,1.5,1.5,2.5,1.5,1.0,2.0,3.3,3.0,3.5,3.0,5.5,1.5,4.58,4.5,5.0,5.5,5.0,3.0,4.5,4.5,3.5,5.0,4.0,5.0,5.5,85
2.85,3.3,5.0,4.0,2.5,3.0,4.0,2.0,2.5,1.5,3.5,4.5,4.0,4.0,3.0,4.0,2.0,2.4,1.0,2.0,3.0,4.0,2.0,4.58,4.0,4.0,4.5,4.5,4.0,5.5,5.5,5.5,6.0,3.0,5.0,3.5,28
4.8,5.1,5.5,7.0,2.0,2.0,4.5,1.5,4.0,6.0,9.0,6.0,4.0,7.5,6.5,6.0,5.0,4.5,1.5,6.5,7.5,4.0,3.0,4.63,4.5,3.5,6.0,6.5,4.0,5.5,6.0,3.5,4.5,4.5,4.0,3.0,37
6.98,6.67,7.5,6.5,7.0,6.5,8.0,6.5,5.0,8.5,4.5,5.0,6.5,7.5,7.5,7.0,6.5,7.3,7.5,7.0,7.5,6.0,8.5,4.67,4.0,4.0,6.0,6.0,3.0,4.5,5.5,3.5,5.5,4.0,4.0,6.0,83
3.9,3.9,6.0,5.0,2.5,6.5,6.0,5.0,2.5,1.5,5.0,3.5,2.5,3.0,3.5,4.0,2.0,3.9,4.0,4.5,4.0,4.0,3.0,4.71,6.0,6.5,5.0,4.5,5.5,5.0,3.5,4.0,5.5,3.5,4.0,3.5,61
5.9,5.2,5.0,5.5,6.0,3.0,5.5,3.5,5.5,7.0,6.0,4.0,5.5,6.0,3.0,7.5,5.0,6.6,7.5,7.0,7.0,6.0,5.5,4.75,4.5,4.5,6.0,5.0,4.5,4.5,5.0,5.0,4.0,4.0,5.0,5.0,67
5.68,6.07,8.0,7.5,8.5,4.5,6.0,6.0,3.5,4.0,6.0,3.0,5.0,7.0,8.0,8.0,6.0,5.3,2.0,6.5,5.0,6.0,7.0,4.75,4.0,4.5,6.0,6.0,5.0,3.5,4.0,7.0,5.0,3.0,5.0,4.0,21
6.55,6.5,7.0,7.0,4.5,7.0,9.0,6.0,7.5,4.0,4.5,7.0,6.5,7.0,7.5,7.0,6.0,6.6,6.0,7.0,7.0,6.5,6.5,4.79,5.0,4.5,6.0,6.0,4.0,4.5,5.5,5.5,5.5,4.5,5.0,1.5,19
6.18,6.77,7.0,7.0,6.5,6.5,8.0,6.0,8.0,4.0,4.5,8.5,6.0,8.0,8.0,7.0,6.5,5.6,1.5,6.0,6.5,7.0,7.0,4.79,5.0,4.5,6.5,5.5,4.0,5.5,4.0,5.0,4.5,4.5,5.0,3.5,30
5.02,5.13,6.5,6.0,4.0,5.0,4.0,4.5,6.5,8.0,5.5,4.5,3.5,5.0,5.5,4.5,4.0,4.9,5.0,5.5,5.5,4.0,4.5,4.79,5.0,3.0,7.5,5.0,4.0,5.0,5.5,4.0,5.0,4.0,4.5,5.0,68
